ROI;Condition;Subject;Depth;Vertices;PSC
V3;PD;3;10;1644.0;-0.3138843452292661
V3;PD;4;0;1588.0;-0.529273842827769
V3;PD;4;1;1588.0;-0.5037547468768315
V3;PD;4;2;1588.0;-0.6382553534203173
V3;PD;4;3;1588.0;-0.8824545986752188
V3;PD;4;4;1588.0;-1.1860314188585284
V3;PD;4;5;1588.0;-1.4986647501872388
V3;PD;4;6;1588.0;-1.7700335288783429
V3;PD;4;7;1588.0;-1.95083039835248
V3;PD;4;8;1588.0;-2.0158306094775513
V3;PD;4;9;1588.0;-1.9643261964742937
V3;PD;4;10;1588.0;-1.7967097446391107
V3;PD;5;0;1834.0;-0.2952434084994882
V3;PD;5;1;1834.0;-0.2600982722648075
V3;PD;5;2;1834.0;-0.3366032344890231
V3;PD;5;3;1834.0;-0.4767905792485438
V3;PD;5;4;1834.0;-0.6326925906197779
V3;PD;5;5;1834.0;-0.7563415526791342
V3;PD;5;6;1834.0;-0.7997697495030209
V3;PD;5;7;1834.0;-0.7181028446932393
V3;PD;5;8;1834.0;-0.5399558136837762
V3;PD;5;9;1834.0;-0.3687578537857298
V3;PD;5;10;1834.0;-0.31129655036531734
V3;PD;6;0;179.0;-0.05992281732625184
V3;PD;6;1;179.0;-0.03652566853019994
V3;PD;6;2;179.0;-0.06432950205037655
V3;PD;6;3;179.0;-0.12117973898612817
V3;PD;6;4;179.0;-0.18492180043680123
V3;PD;6;5;179.0;-0.23340110750174228
V3;PD;6;6;179.0;-0.24446308128029776
V3;PD;6;7;179.0;-0.19721284277562665
V3;PD;6;8;179.0;-0.10068216062217529
V3;PD;6;9;179.0;0.005631013095180323
V3;PD;6;10;179.0;0.08086110842402704
V3;PS;0;0;4372.0;-0.6701064892167317
V3;PS;0;1;4372.0;-0.5763727822368219
V3;PS;0;2;4372.0;-0.7030426169717972
V3;PS;0;3;4372.0;-0.970561827205581
V3;PS;0;4;4372.0;-1.2993762467220975
V3;PS;0;5;4372.0;-1.6099317093052705
V3;PS;0;6;4372.0;-1.8226740487390236
V3;PS;0;7;4372.0;-1.861648148238347
V3;PS;0;8;4372.0;-1.7364013855450184
V3;PS;0;9;4372.0;-1.5435251239422867
V3;PS;0;10;4372.0;-1.38351810520345
V3;PS;1;0;3407.0;-0.686731241129418
V3;PS;1;1;3407.0;-0.6681694868757152
V3;PS;1;2;3407.0;-0.8075645373972146
V3;PS;1;3;3407.0;-1.0440521600683468
V3;PS;1;4;3407.0;-1.316768122263542
V3;PS;1;5;3407.0;-1.5648481913572305
V3;PS;1;6;3407.0;-1.7274281347238425
V3;PS;1;7;3407.0;-1.7463044013399225
V3;PS;1;8;3407.0;-1.6264831622154374
V3;PS;1;9;3407.0;-1.4373198937368648
V3;PS;1;10;3407.0;-1.2510586933724692
V3;PS;2;0;742.0;-0.5606835252420516
