ROI;Condition;Subject;Depth;PSC
V2;CD;1;1;-1.915147063957464
V2;CD;1;2;-2.167518641921958
V2;CD;1;3;-2.4389135083742266
V2;CD;1;4;-2.7257978854121823
V2;CD;1;5;-3.0525453373877016
V2;CD;1;6;-3.4877608557129784
V2;CD;1;7;-4.0194338722195555
V2;CD;1;8;-4.637751366945561
V2;CD;1;9;-5.213450223169498
V2;CD;1;10;-5.460965058604416
V2;CD;2;0;-0.8432916691968662
V2;CD;2;1;-0.9191006475180625
V2;CD;2;2;-1.05397311711846
V2;CD;2;3;-1.2160641139270294
V2;CD;2;4;-1.3782778794879422
V2;CD;2;5;-1.5290356250409711
V2;CD;2;6;-1.6704813491411958
V2;CD;2;7;-1.811518186770133
V2;CD;2;8;-1.9565288779070178
V2;CD;2;9;-2.073454768433859
V2;CD;2;10;-2.1433962598673846
V2;CD;3;0;-1.1013944977346728
V2;CD;3;1;-1.2587448297751391
V2;CD;3;2;-1.537193888258664
V2;CD;3;3;-1.8312137150054064
V2;CD;3;4;-2.135261728058388
V2;CD;3;5;-2.4734078450454247
V2;CD;3;6;-2.8824368037883654
V2;CD;3;7;-3.34966148704296
V2;CD;3;8;-3.887355624506153
V2;CD;3;9;-4.360052241983787
V2;CD;3;10;-4.482580516776866
V2;CD;4;0;-1.6995225332423667
V2;CD;4;1;-1.8314296696947183
V2;CD;4;2;-2.129496648539675
V2;CD;4;3;-2.499467529319353
V2;CD;4;4;-2.8952169290298104
V2;CD;4;5;-3.3343968943712645
V2;CD;4;6;-3.857944038284212
V2;CD;4;7;-4.483338782746241
V2;CD;4;8;-5.208065899112689
V2;CD;4;9;-5.8896828442565825
V2;CD;4;10;-6.214677625482878
V2;CD;5;0;-1.5987445284735686
V2;CD;5;1;-1.7318112677224324
V2;CD;5;2;-2.053545485187169
V2;CD;5;3;-2.461440632838697
V2;CD;5;4;-2.877490546915417
V2;CD;5;5;-3.286603205511647
V2;CD;5;6;-3.6307943400921046
V2;CD;5;7;-3.9201552423136063
V2;CD;5;8;-4.132427642511037
V2;CD;5;9;-4.217511286939526
V2;CD;5;10;-4.212291483552958
V2;CD;6;0;-1.047356045417123
V2;CD;6;1;-1.0427443520524455
V2;CD;6;2;-1.1704536630208533
V2;CD;6;3;-1.4611123337327898
V2;CD;6;4;-1.7779504607203627
V2;CD;6;5;-2.0754288238527225
V2;CD;6;6;-2.2292575843779376
V2;CD;6;7;-2.30441328732276
V2;CD;6;8;-2.326726659031134
V2;CD;6;9;-2.330085330906204
