ROI;Condition;Subject;Depth;PSC
V2;PS;2;1;-1.0232213573480378
V2;PS;2;2;-1.1345294269369317
V2;PS;2;3;-1.2749462573158836
V2;PS;2;4;-1.4284743888846512
V2;PS;2;5;-1.5899310305582794
V2;PS;2;6;-1.7580852159447944
V2;PS;2;7;-1.9150819594554211
V2;PS;2;8;-2.0504999347847317
V2;PS;2;9;-2.1466113298828144
V2;PS;2;10;-2.2028300058285377
V2;PS;3;0;-0.9154665733449304
V2;PS;3;1;-1.0297016788541806
V2;PS;3;2;-1.2508620170640374
V2;PS;3;3;-1.498098882444785
V2;PS;3;4;-1.768573789390664
V2;PS;3;5;-2.076242834394579
V2;PS;3;6;-2.464660687236798
V2;PS;3;7;-2.8901741219306096
V2;PS;3;8;-3.3633409662757696
V2;PS;3;9;-3.815742554085808
V2;PS;3;10;-4.016828152499005
V2;PS;4;0;-1.7094499555897735
V2;PS;4;1;-1.8355844262609478
V2;PS;4;2;-2.1235473828127995
V2;PS;4;3;-2.4791976025612423
V2;PS;4;4;-2.8465566796126462
V2;PS;4;5;-3.231078238238381
V2;PS;4;6;-3.683283821250832
V2;PS;4;7;-4.213876148433712
V2;PS;4;8;-4.812766285409946
V2;PS;4;9;-5.364611497090126
V2;PS;4;10;-5.623437612130342
V2;PS;5;0;-1.8006114309078591
V2;PS;5;1;-1.9450362609577283
V2;PS;5;2;-2.3017728687234214
V2;PS;5;3;-2.717050527147043
V2;PS;5;4;-3.1343425887235954
V2;PS;5;5;-3.5415884501358827
V2;PS;5;6;-3.9153182014196966
V2;PS;5;7;-4.214985788875248
V2;PS;5;8;-4.439522999050087
V2;PS;5;9;-4.548481632541164
V2;PS;5;10;-4.587521237747222
V2;PS;6;0;-1.7944312899007406
V2;PS;6;1;-1.8163405532297183
V2;PS;6;2;-1.8229601090351004
V2;PS;6;3;-1.809914766754532
V2;PS;6;4;-2.022800939726207
V2;PS;6;5;-2.4734981959515694
V2;PS;6;6;-2.6964988541297634
V2;PS;6;7;-2.7512963559254757
V2;PS;6;8;-2.684107402796461
V2;PS;6;9;-2.683144365210995
V2;PS;6;10;-2.718974783697693
V2;CD;0;0;-1.1459711008616553
V2;CD;0;1;-1.2652362565333486
V2;CD;0;2;-1.512827274026254
V2;CD;0;3;-1.8056706500565904
V2;CD;0;4;-2.124510127011538
V2;CD;0;5;-2.499657368450846
V2;CD;0;6;-2.992593644891954
V2;CD;0;7;-3.563798806167089
V2;CD;0;8;-4.194387840369081
V2;CD;0;9;-4.76328054231816
V2;CD;0;10;-4.992541351371866
V2;CD;1;0;-1.838483429036935
V2;CD;1;1;-2.0027481417036617
V2;CD;1;2;-2.2682275101179243
V2;CD;1;3;-2.5718124104768196
V2;CD;1;4;-2.8963796488028812
V2;CD;1;5;-3.2622948216043266
V2;CD;1;6;-3.7148384598368582
V2;CD;1;7;-4.259882201169328
V2;CD;1;8;-4.914151754864279
V2;CD;1;9;-5.4719129763459105
V2;CD;1;10;-5.701998303215736
V2;CD;2;0;-0.667290325167563
V2;CD;2;1;-0.726992158296869
V2;CD;2;2;-0.8321611831951335
V2;CD;2;3;-0.9576772627040789
V2;CD;2;4;-1.0806282297726617
V2;CD;2;5;-1.1891607324649953
V2;CD;2;6;-1.2777744078231899
V2;CD;2;7;-1.3546592697551685
V2;CD;2;8;-1.4219348451542557
V2;CD;2;9;-1.4712550844085357
V2;CD;2;10;-1.5030130385505038
V2;CD;3;0;-0.8927792450386078
V2;CD;3;1;-1.0280627887280864
V2;CD;3;2;-1.2826653074859047
V2;CD;3;3;-1.543182828280496
V2;CD;3;4;-1.7961045273261464
V2;CD;3;5;-2.0756858543554784
V2;CD;3;6;-2.4377593464539737
V2;CD;3;7;-2.8548186104513964
V2;CD;3;8;-3.3275512298030683
V2;CD;3;9;-3.7375291033626166
V2;CD;3;10;-3.8558442435563207
V2;CD;4;0;-1.6778147829844925
V2;CD;4;1;-1.8192140795454195
V2;CD;4;2;-2.1204080112342547
V2;CD;4;3;-2.4916361454786484
V2;CD;4;4;-2.882704482270532
V2;CD;4;5;-3.3022927407695093
V2;CD;4;6;-3.7971409874144357
V2;CD;4;7;-4.362068387600792
V2;CD;4;8;-4.995298905785229
V2;CD;4;9;-5.578088036337832
V2;CD;4;10;-5.854166096987428
V2;CD;5;0;-1.5539443767413526
V2;CD;5;1;-1.6769494937924165
V2;CD;5;2;-1.9676506552181956
V2;CD;5;3;-2.327431417262036
V2;CD;5;4;-2.683955692594732
V2;CD;5;5;-3.036250224262644
V2;CD;5;6;-3.376100183875643
V2;CD;5;7;-3.6607008090924857
V2;CD;5;8;-3.8749830943267494
V2;CD;5;9;-3.993577942348998
V2;CD;5;10;-4.038185955576659
V2;CD;6;0;-1.095411607258267
V2;CD;6;1;-1.1199354864250486
V2;CD;6;2;-1.2493374553469911
V2;CD;6;3;-1.5319307561225004
V2;CD;6;4;-1.793090133376785
