ROI;Condition;Subject;Depth;PSC
V3;CD;2;1;0.5238534780883956
V3;CD;2;2;0.42225044609179513
V3;CD;2;3;0.31782366518584293
V3;CD;2;4;0.2190857360828447
V3;CD;2;5;0.1345492594951061
V3;CD;2;6;0.0727268361349324
V3;CD;2;7;0.04154589803583009
V3;CD;2;8;0.03503204489624356
V3;CD;2;9;0.033058413384501564
V3;CD;2;10;0.014862840334244315
V3;CD;3;0;0.218569643949018
V3;CD;3;1;-0.004585596421327159
V3;CD;3;2;-0.13020154082836102
V3;CD;3;3;-0.1757211361061141
V3;CD;3;4;-0.15858732908861703
V3;CD;3;5;-0.09624306660990047
V3;CD;3;6;-0.006131295503994785
V3;CD;3;7;0.093979720459081
V3;CD;3;8;0.1785931741615292
V3;CD;3;9;0.21434438025411676
V3;CD;3;10;0.16751546668582284
V3;CD;4;0;0.22826901359225465
V3;CD;4;1;0.05611246230943102
V3;CD;4;2;-0.11054585191671398
V3;CD;4;3;-0.26593894822286146
V3;CD;4;4;-0.4042998457456926
V3;CD;4;5;-0.5198615636218886
V3;CD;4;6;-0.6068571209881306
V3;CD;4;7;-0.6596486784745905
V3;CD;4;8;-0.6756664067657265
V3;CD;4;9;-0.655463798552967
V3;CD;4;10;-0.5997345515189475
V3;CD;5;0;-0.4351472388968735
V3;CD;5;1;-0.2900471637110236
V3;CD;5;2;-0.4343292089418845
V3;CD;5;3;-0.743841291047604
V3;CD;5;4;-1.09443132648633
V3;CD;5;5;-1.36194723171621
V3;CD;5;6;-1.4222369231953924
V3;CD;5;7;-1.1596670538198495
V3;CD;5;8;-0.6609836073619088
V3;CD;5;9;-0.21896051623082297
V3;CD;5;10;-0.1356202458602171
V3;CD;6;0;0.3099016485834968
V3;CD;6;1;0.14406736314916796
V3;CD;6;2;0.038035663743763645
V3;CD;6;3;-0.022588537354318344
V3;CD;6;4;-0.05220032786668037
V3;CD;6;5;-0.06519479551492471
V3;CD;6;6;-0.0759670280206537
V3;CD;6;7;-0.09843823517445448
V3;CD;6;8;-0.13527172492949135
V3;CD;6;9;-0.1776699390947611
V3;CD;6;10;-0.21632084462415685
